,id,class,cap_shape,cap_surface,cap_color,odor,gill_attachment,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,stalk_surface_above_ring,stalk_surface_below_ring,stalk_color_above_ring,stalk_color_below_ring,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat,bruises
0,367,edible,bell,scaly,yellow,almond,free,close,broad,black,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,grasses,Bruises
1,5123,poisonous,convex,smooth,red,foul,free,close,narrow,buff,tapering,?,silky,silky,white,pink,partial,white,one,evanescent,white,several,paths,No presenta
2,2864,edible,convex,fibrous,green,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,pink,white,partial,white,one,pendant,brown,several,wood,Bruises
3,4674,poisonous,flat,smooth,white,foul,free,close,broad,pink,tapering,bulbous,fibrous,fibrous,white,white,partial,white,one,pendant,chocolate,scattered,grasses,Bruises
4,1210,edible,convex,smooth,white,null,free,crowded,broad,black,tapering,equal,fibrous,fibrous,white,white,partial,white,one,evanescent,black,abundant,grasses,No presenta
5,5381,poisonous,flat,smooth,red,spicy,free,close,narrow,buff,tapering,?,silky,silky,pink,white,partial,white,one,evanescent,white,several,leaves,No presenta
6,4001,poisonous,convex,smooth,green,creosote,free,close,narrow,pink,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,wood,No presenta
7,5168,poisonous,convex,scaly,red,spicy,free,close,narrow,buff,tapering,?,silky,silky,white,white,partial,white,one,evanescent,white,several,paths,No presenta
8,14,edible,sunken,fibrous,green,null,free,close,narrow,black,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban,No presenta
9,2540,edible,convex,scaly,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,wood,Bruises
10,2851,edible,convex,scaly,red,null,free,close,broad,pink,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,brown,solitary,wood,Bruises
11,1689,edible,convex,fibrous,brown,null,free,crowded,broad,chocolate,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,black,abundant,grasses,No presenta
12,2909,edible,flat,fibrous,green,null,free,close,broad,white,tapering,bulbous,smooth,smooth,white,pink,partial,white,one,pendant,brown,solitary,wood,Bruises
13,659,edible,convex,fibrous,yellow,almond,free,crowded,narrow,white,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,purple,several,wood,Bruises
14,205,edible,convex,fibrous,yellow,almond,free,crowded,narrow,brown,tapering,bulbous,smooth,smooth,white,white,partial,white,one,pendant,brown,several,wood,Bruises
15,4951,poisonous,flat,smooth,green,foul,free,close,broad,chocolate,tapering,bulbous,smooth,fibrous,white,white,partial,white,one,pendant,chocolate,several,grasses,Bruises
16,1513,edible,convex,scaly,yellow,almond,free,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,scattered,paths,Bruises
17,5651,edible,convex,fibrous,green,null,free,crowded,broad,gray,enlarging,?,smooth,silky,white,white,partial,white,two,pendant,white,scattered,grasses,No presenta
18,966,edible,flat,scaly,brown,anise,free,close,broad,pink,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,brown,solitary,grasses,Bruises
19,519,edible,sunken,fibrous,brown,null,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,urban,No presenta
20,5251,poisonous,knobbed,smooth,brown,spicy,free,close,narrow,buff,tapering,?,silky,silky,pink,pink,partial,white,one,evanescent,white,several,wood,No presenta
21,4289,edible,flat,scaly,brown,null,free,close,broad,red,enlarging,?,smooth,smooth,white,white,partial,white,two,evanescent,white,clustered,waste,Bruises
22,5666,poisonous,knobbed,scaly,red,fishy,free,close,narrow,buff,tapering,?,silky,silky,white,pink,partial,white,one,evanescent,white,several,leaves,No presenta
23,7,poisonous,convex,scaly,white,pungent,free,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,white,one,pendant,black,several,grasses,Bruises
24,6211,edible,knobbed,fibrous,white,null,free,crowded,broad,white,enlarging,?,smooth,silky,white,white,partial,white,two,pendant,white,scattered,grasses,No presenta
25,245,edible,bell,scaly,yellow,anise,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,brown,scattered,meadows,Bruises
26,5607,poisonous,flat,smooth,red,foul,free,close,narrow,buff,tapering,?,silky,silky,pink,pink,partial,white,one,evanescent,white,several,leaves,No presenta
27,4871,poisonous,convex,scaly,brown,fishy,free,close,narrow,buff,tapering,?,silky,smooth,pink,white,partial,white,one,evanescent,white,several,wood,No presenta
28,1074,edible,flat,fibrous,green,null,free,crowded,broad,pink,tapering,equal,smooth,smooth,white,white,partial,white,one,evanescent,black,scattered,grasses,No presenta
29,1668,edible,flat,smooth,white,null,free,crowded,broad,brown,tapering,equal,smooth,fibrous,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
30,809,edible,convex,scaly,white,almond,free,close,broad,white,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,grasses,Bruises
31,4018,poisonous,flat,scaly,green,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,pink,pink,partial,white,one,large,chocolate,several,wood,No presenta
32,4911,edible,convex,smooth,pink,null,free,close,broad,red,enlarging,?,smooth,smooth,red,white,partial,white,two,evanescent,white,clustered,waste,Bruises
33,4232,poisonous,convex,fibrous,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,buff,pink,partial,white,one,large,chocolate,solitary,grasses,No presenta
34,2939,poisonous,convex,scaly,yellow,foul,free,close,broad,gray,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,paths,No presenta
35,707,edible,convex,fibrous,brown,null,free,crowded,broad,brown,tapering,equal,fibrous,smooth,white,white,partial,white,one,evanescent,brown,scattered,grasses,No presenta
36,4837,poisonous,flat,scaly,yellow,foul,free,close,broad,pink,enlarging,bulbous,silky,silky,brown,buff,partial,white,one,large,chocolate,solitary,paths,No presenta
37,2659,edible,convex,scaly,brown,null,free,close,broad,purple,tapering,bulbous,smooth,smooth,gray,gray,partial,white,one,pendant,black,several,wood,Bruises
38,4885,edible,knobbed,smooth,brown,null,free,close,broad,white,enlarging,?,smooth,smooth,white,white,partial,white,two,evanescent,white,clustered,waste,Bruises
39,3761,poisonous,convex,smooth,pink,creosote,free,crowded,narrow,purple,enlarging,bulbous,smooth,smooth,white,white,partial,white,one,pendant,black,several,wood,No presenta
