"ref_area.label","source.label","indicator.label","sex.label","classif1.label","classif2.label","time","obs_value","obs_status.label"
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2024",427662.408,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2024",374.323,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2024",1251.41,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2024",426036.676,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2023",426601.636,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2023",406.176,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2023",1301.175,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2023",424894.285,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2022",423768.27,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Extremely poor < USD 2.15 PPP","2022",441.56,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Moderately poor >= USD 2.15 and < USD 3.65 PPP","2022",1427.401,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: >= USD 3.65 PPP","2022",421899.309,
"Europe and Central Asia","ILO - Modelled Estimates","Employment by sex, age and economic class -- ILO modelled estimates, Nov. 2024 (thousands)","Sex: Total","Age (Youth, adults): 15+","Economic class: Total","2021",416444.543,
